"institution_name","unitid","state","city","control_label","institution_status","is_active","revenue_total","expenses_total"
"Abilene Christian University-Undergraduate Online","497037","Texas","Addison","Private not-for-profit","Active - institution active","Yes","",""
"Academy of Vocal Arts","210508","Pennsylvania","Philadelphia","Private not-for-profit","Active - institution active","Yes","",""
"Agora University","498915","Virginia","Burke","Private not-for-profit","Active - institution active","Yes","",""
"Antioch University","245892","Ohio","Yellow Springs","Private not-for-profit","Active - institution active","Yes","",""
"Antioch University-Los Angeles","245838","California","Culver City","Private not-for-profit","Active - institution active","Yes","",""
"Antioch University-New England","245865","New Hampshire","Keene","Private not-for-profit","Active - institution active","Yes","",""
"Antioch University-Santa Barbara","245847","California","Santa Barbara","Private not-for-profit","Active - institution active","Yes","",""
"Antioch University-Seattle","245883","Washington","Seattle","Private not-for-profit","Active - institution active","Yes","",""
"Bacone College","206817","Oklahoma","Muskogee","Private not-for-profit","Active - institution active","Yes","",""
"Central Methodist University-College of Graduate and Extended Studies","445267","Missouri","Fayette","Private not-for-profit","Active - institution active","Yes","",""
"Concordia University Ann Arbor","169363","Michigan","Ann Arbor","Private not-for-profit","Active - institution active","Yes","",""
"DHARMA REALM BUDDHIST UNIVERSITY","113616","California","Ukiah","Private not-for-profit","Restore (active) - restored to the current universe","Yes","",""
"Evangel University-College of Online Learning","497824","Missouri","Springfield","Private not-for-profit","Active - institution active","Yes","",""
"Fairleigh Dickinson University-Florham Campus","184694","New Jersey","Madison","Private not-for-profit","Active - institution active","Yes","",""
"Faith Theological Seminary and Christian College","494597","Florida","Tampa","Private not-for-profit","Active - institution active","Yes","",""
"Indiana Institute of Technology-College of Professional Studies","492962","Indiana","Fort Wayne","Private not-for-profit","Active - institution active","Yes","",""
"Institute of Lutheran Theology","493363","South Dakota","Brookings","Private not-for-profit","Active - institution active","Yes","",""
"Johnson & Wales University-Online","460349","Rhode Island","Providence","Private not-for-profit","Active - institution active","Yes","",""
"Marian University-Ancilla","497833","Indiana","Plymouth","Private not-for-profit","Active - institution active","Yes","",""
"Middlebury Institute of International Studies at Monterey","119058","California","Monterey","Private not-for-profit","Active - institution active","Yes","",""
"Montana Bible College","262165","Montana","Billings","Private not-for-profit","Active - institution active","Yes","",""
"New York Theological Seminary","193894","New York","New York","Private not-for-profit","Closed in current year (active has data)","Yes","",""
"Northcentral University","444130","California","San Diego","Private not-for-profit","Active - institution active","Yes","",""
"Northeastern University Professional Programs","482705","Massachusetts","Boston","Private not-for-profit","Active - institution active","Yes","",""
"Oregon College of Oriental Medicine","369659","Oregon","Portland","Private not-for-profit","Closed in current year (active has data)","Yes","",""
"Ottawa University-Kansas City","155636","Kansas","Overland Park","Private not-for-profit","Active - institution active","Yes","",""
"Ottawa University-Milwaukee","428259","Wisconsin","Brookfield","Private not-for-profit","Active - institution active","Yes","",""
"Ottawa University-Online","454582","Kansas","Overland Park","Private not-for-profit","Active - institution active","Yes","",""
"Ottawa University-Surprise","464226","Arizona","Surprise","Private not-for-profit","Active - institution active","Yes","",""
"Pacific Northwest College of Art","209603","Oregon","Portland","Private not-for-profit","Active - institution active","Yes","",""
"Pontifex University","498289","Georgia","Atlanta","Private not-for-profit","Active - institution active","Yes","",""
"Saint Vincent Seminary","215813","Pennsylvania","Latrobe","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at Anaheim","455433","California","Anaheim","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at Dallas","492607","Texas","Plano","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at Los Angeles","455664","California","Los Angeles","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at San Diego","491190","California","San Diego","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at Washington DC","459745","District of Columbia","Washington","Private not-for-profit","Active - institution active","Yes","",""
"The Chicago School at Xavier University of Louisiana","487153","Louisiana","New Orleans","Private not-for-profit","Active - institution active","Yes","",""
"The College of Saint Rose","195234","New York","Albany","Private not-for-profit","Active - institution active","Yes","",""
"The Colleges of Law at Santa Barbara","475228","California","Santa Barbara","Private not-for-profit","Active - institution active","Yes","",""
"The University of America","475237","California","Temecula","Private not-for-profit","Active - institution active","Yes","",""
"Toyota Technological Institute at Chicago","445054","Illinois","Chicago","Private not-for-profit","Active - institution active","Yes","",""
"Trine University-Regional/Non-Traditional Campuses","414878","Indiana","Angola","Private not-for-profit","Active - institution active","Yes","",""
"Warner Pacific University Professional and Graduate Studies","480198","Oregon","Portland","Private not-for-profit","Active - institution active","Yes","",""
