"institution_name","unitid","state","city","institution_status","is_active","all_programs_distance_education"
"Lincoln University","213598","Pennsylvania","Lincoln University","Active - institution active","Yes","No"
"Oregon State University-Cascades Campus","440828","Oregon","Bend","Active - institution active","Yes","No"
"Pennsylvania State University-Main Campus","214777","Pennsylvania","University Park","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Abington","214801","Pennsylvania","Abington","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Altoona","214689","Pennsylvania","Altoona","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Beaver","214698","Pennsylvania","Monaca","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Berks","214704","Pennsylvania","Reading","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Brandywine","214731","Pennsylvania","Media","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Erie-Behrend College","214591","Pennsylvania","Erie","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Fayette- Eberly","214759","Pennsylvania","Lemont Furnace","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Greater Allegheny","214786","Pennsylvania","McKeesport","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Harrisburg","214713","Pennsylvania","Middletown","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Hazleton","214768","Pennsylvania","Hazleton","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Lehigh Valley","214670","Pennsylvania","Center Valley","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Mont Alto","214795","Pennsylvania","Mont Alto","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State New Kensington","214625","Pennsylvania","New Kensington","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Schuylkill","214810","Pennsylvania","Schuylkill Haven","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Scranton","214652","Pennsylvania","Dunmore","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State Wilkes-Barre","214643","Pennsylvania","Dallas","Active - institution active","Yes","No"
"Pennsylvania State University-Penn State York","214829","Pennsylvania","York","Active - institution active","Yes","No"
"Pennsylvania State University-World Campus","479956","Pennsylvania","University Park","Active - institution active","Yes","No"
"Salish Kootenai College","180647","Montana","Pablo","Active - institution active","Yes","No"
"Sinte Gleska University","219374","South Dakota","Mission","Active - institution active","Yes","No"
"Temple University","216339","Pennsylvania","Philadelphia","Active - institution active","Yes","No"
"University of Akron Wayne College","200846","Ohio","Orrville","Active - institution active","Yes","No"
"University of Connecticut-Avery Point","436827","Connecticut","Groton","Active - institution active","Yes","No"
"University of Connecticut-Hartford Campus","463056","Connecticut","Hartford","Active - institution active","Yes","No"
"University of Connecticut-Stamford","436836","Connecticut","Stamford","Active - institution active","Yes","No"
"University of Connecticut-Waterbury Campus","436818","Connecticut","Waterbury","Active - institution active","Yes","No"
"University of Delaware","130943","Delaware","Newark","Active - institution active","Yes","No"
"University of Pittsburgh-Bradford","215266","Pennsylvania","Bradford","Active - institution active","Yes","No"
"University of Pittsburgh-Greensburg","215275","Pennsylvania","Greensburg","Active - institution active","Yes","No"
"University of Pittsburgh-Johnstown","215284","Pennsylvania","Johnstown","Active - institution active","Yes","No"
"University of Pittsburgh-Pittsburgh Campus","215293","Pennsylvania","Pittsburgh","Active - institution active","Yes","No"
"University of Washington-Bothell Campus","377555","Washington","Bothell","Active - institution active","Yes","No"
"University of Washington-Tacoma Campus","377564","Washington","Tacoma","Active - institution active","Yes","No"
"West Virginia University Institute of Technology","237950","West Virginia","Beckley","Active - institution active","Yes","No"
