"institution_name","unitid","state","city","control_label","institution_status","is_active","revenue_total","expenses_total"
"Air Force Institute of Technology-Graduate School of Engineering & Management","200697","Ohio","Wright-Patterson AFB","Public","Active - institution active","Yes","",""
"Arizona State University Digital Immersion","483124","Arizona","Scottsdale","Public","Active - institution active","Yes","",""
"Eastern Virginia Medical School","231970","Virginia","Norfolk","Public","Active - institution active","Yes","",""
"Lincoln University","213598","Pennsylvania","Lincoln University","Public","Active - institution active","Yes","",""
"Naval Postgraduate School","119678","California","Monterey","Public","Active - institution active","Yes","",""
"Oregon State University-Cascades Campus","440828","Oregon","Bend","Public","Active - institution active","Yes","",""
"Pennsylvania College of Technology","366252","Pennsylvania","Williamsport","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Main Campus","214777","Pennsylvania","University Park","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Abington","214801","Pennsylvania","Abington","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Altoona","214689","Pennsylvania","Altoona","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Beaver","214698","Pennsylvania","Monaca","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Berks","214704","Pennsylvania","Reading","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Brandywine","214731","Pennsylvania","Media","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State DuBois","214740","Pennsylvania","DuBois","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Erie-Behrend College","214591","Pennsylvania","Erie","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Fayette- Eberly","214759","Pennsylvania","Lemont Furnace","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Great Valley","214607","Pennsylvania","Malvern","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Greater Allegheny","214786","Pennsylvania","McKeesport","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Harrisburg","214713","Pennsylvania","Middletown","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Hazleton","214768","Pennsylvania","Hazleton","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Lehigh Valley","214670","Pennsylvania","Center Valley","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Mont Alto","214795","Pennsylvania","Mont Alto","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State New Kensington","214625","Pennsylvania","New Kensington","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Schuylkill","214810","Pennsylvania","Schuylkill Haven","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Scranton","214652","Pennsylvania","Dunmore","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Shenango","214634","Pennsylvania","Sharon","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State Wilkes-Barre","214643","Pennsylvania","Dallas","Public","Active - institution active","Yes","",""
"Pennsylvania State University-Penn State York","214829","Pennsylvania","York","Public","Active - institution active","Yes","",""
"Pennsylvania State University-World Campus","479956","Pennsylvania","University Park","Public","Active - institution active","Yes","",""
"Potomac State College of West Virginia University","237701","West Virginia","Keyser","Public","Active - institution active","Yes","",""
"Salish Kootenai College","180647","Montana","Pablo","Public","Active - institution active","Yes","",""
"Sinte Gleska University","219374","South Dakota","Mission","Public","Active - institution active","Yes","",""
"Temple University","216339","Pennsylvania","Philadelphia","Public","Active - institution active","Yes","",""
"University of Akron Wayne College","200846","Ohio","Orrville","Public","Active - institution active","Yes","",""
"University of Connecticut-Avery Point","436827","Connecticut","Groton","Public","Active - institution active","Yes","",""
"University of Connecticut-Hartford Campus","463056","Connecticut","Hartford","Public","Active - institution active","Yes","",""
"University of Connecticut-Stamford","436836","Connecticut","Stamford","Public","Active - institution active","Yes","",""
"University of Connecticut-Waterbury Campus","436818","Connecticut","Waterbury","Public","Active - institution active","Yes","",""
"University of Delaware","130943","Delaware","Newark","Public","Active - institution active","Yes","",""
"University of Pittsburgh-Bradford","215266","Pennsylvania","Bradford","Public","Active - institution active","Yes","",""
"University of Pittsburgh-Greensburg","215275","Pennsylvania","Greensburg","Public","Active - institution active","Yes","",""
"University of Pittsburgh-Johnstown","215284","Pennsylvania","Johnstown","Public","Active - institution active","Yes","",""
"University of Pittsburgh-Pittsburgh Campus","215293","Pennsylvania","Pittsburgh","Public","Active - institution active","Yes","",""
"University of Washington-Bothell Campus","377555","Washington","Bothell","Public","Active - institution active","Yes","",""
"University of Washington-Tacoma Campus","377564","Washington","Tacoma","Public","Active - institution active","Yes","",""
"University of Wisconsin-Milwaukee Flex","491288","Wisconsin","Milwaukee","Public","Active - institution active","Yes","",""
"University of Wisconsin-Parkside Flex","491297","Wisconsin","Kenosha","Public","Active - institution active","Yes","",""
"West Virginia University Institute of Technology","237950","West Virginia","Beckley","Public","Active - institution active","Yes","",""
